1,4.5,6,4.5
2,5.5,5,6
2,6,3.5,6.5
3,2.5,2.5,4
3,4.5,4.5,5
4,6.5,5,5
4,7,3,5
4,7,4,4
4,7,4,5
4,5.5,4,6
5,4,3,7.5
5,4,4,6
6,4,2,5
6,1,3,7.5
6,1,4,7.5
6,4,4,4
7,2,4,10
7,3.5,4,8.5
7,2,3.5,9.5
8,1,2.5,9
9,2,2,10
9,2,3,10
9,3.5,4,7
9,2,2,11
9,4,1,10.5
10,2.5,2.5,10.5
10,2.5,2.5,10.5
10,2.5,2,5.5
10,4.5,3.5,9
10,3,2.5,9
11,5,1,4
11,5,1,3.5
11,5,2,3.5
12,5,5,4
12,4.5,3,5.5
12,3,3.5,7
